Name_Category,ESM356_H_1_1,ESM356_H_1_2,ESM356_H_2_1,ESM356_H_2_2,ESM356_H_3_1,ESM356_H_3_2,ESM356_D_1_1,ESM356_D_1_2,ESM356_D_2_1,ESM356_D_2_2,ESM356_D_3_1,ESM356_D_3_2,CDC48_H_1_1,CDC48_H_1_2,CDC48_H_2_1,CDC48_H_2_2,CDC48_H_3_1,CDC48_H_3_2,CDC48_D_1_1,CDC48_D_1_2,CDC48_D_2_1,CDC48_D_2_2,CDC48_D_3_1,CDC48_D_3_2
YDL181W,7970.7246,4683.583,3231.787,8216.026,3806.1333,9273.179,4913.8765,7608.739,4916.51,8084.1377,2745.8706,9476.904,4741.7305,15331.023,3784.6362,12494.904,2620.3708,7205.834,4817.9434,6022.3105,3290.0945,5802.203,5292.502,8951.323
YHR030C,14011.358,4408.241,14724.469,15738.074,14921.975,15177.957,3091.824,4114.9746,16071.302,15454.744,11765.894,14211.239,7947.878,23828.48,6704.597,22328.615,6088.977,21670.285,4865.049,19219.705,4496.9336,20263.336,20099.254,17783.207
YMR220W,4584.0503,7050.8535,4266.9785,5470.77,6332.1587,6617.4736,4460.7715,4479.348,3929.544,7161.427,3527.2915,7860.09,8051.001,12263.847,3810.2104,7450.7515,4698.7603,7186.4863,3193.3262,7663.7607,3349.708,7552.9893,8596.932,7994.6475
YCL017C,15305.859,15012.378,10872.506,13386.371,12708.652,14740.122,9976.364,12787.635,14195.378,14044.419,12750.461,12390.832,13907.545,15367.403,13550.858,11251.563,13526.681,14372.01,13126.962,13532.404,13687.23,13523.639,13376.813,14770.976
YER048W-A,11467.919,10581.807,8607.458,10805.685,9532.153,11173.743,6680.3423,10458.227,10365.706,10746.044,9909.955,8307.862,12559.02,12224.1875,9968.636,11987.53,10545.434,11774.031,10010.442,9393.86,10519.193,10758.979,11117.608,11243.979
YCR088W,104194.92,100228.79,93945.39,100343.75,96497.71,106682.61,65218.453,115377.99,92104.39,95371.34,89496.23,92084.516,103666.83,118554.99,103341.15,109904.08,116603.23,116509.28,91758.83,85406.75,96242.59,105751.4,99982.5,110188.09
YOR232W,16277.464,15368.11,14373.334,14977.4795,14078.276,16579.135,7647.212,16778.225,15472.711,15971.865,11407.8125,15209.516,16110.414,16805.512,14660.559,15452.547,16031.6045,16155.051,13142.386,13140.424,14266.51,13781.108,14862.624,15685.177
YOR222W,11408.653,10672.621,10226.157,11298.073,10622.858,10862.363,6240.552,12677.596,11294.17,10927.494,10145.379,10088.022,11039.016,11676.963,9797.761,12672.8,10657.235,11018.315,9977.705,10083.73,8558.167,8925.739,10532.717,13518.49
YMR033W,7588.114,8027.788,4733.1343,8780.7295,7889.386,8394.173,4622.308,8362.065,7659.792,7870.472,4547.326,7819.3145,6814.5723,6906.747,7326.6016,7377.6763,7217.5713,7344.413,7438.101,7252.619,7569.8574,7470.73,7729.025,8135.81
YDR231C,6394.301,6612.65,5889.587,7403.5776,6087.9062,7269.0293,4927.6562,5873.744,6455.8174,5807.142,6348.835,7270.931,4807.4404,6435.2505,6455.6055,6918.967,6581.2153,7242.737,6287.244,6999.5693,6401.541,7565.76,7418.002,8158.284
