Name_Category,ESM356Leu_D_1_1,ESM356Leu_D_1_2,ESM356Leu_D_2_1,ESM356Leu_D_2_2,ESM356Leu_D_3_1,ESM356Leu_D_3_2,ESM356Leu_H_1_1,ESM356Leu_H_1_2,ESM356Leu_H_2_1,ESM356Leu_H_2_2,ESM356Leu_H_3_1,ESM356Leu_H_3_2,Clb2_D_1_1,Clb2_D_1_2,Clb2_D_2_1,Clb2_D_2_2,Clb2_D_3_1,Clb2_D_3_2,Clb2_H_1_1,Clb2_H_1_2,Clb2_H_2_1,Clb2_H_2_2,Clb2_H_3_1,Clb2_H_3_2
YLR199C,31183.176,4938.6973,5211.7188,12717.623,29065.98,8118.046,30738.068,5811.2363,30007.64,16793.664,8549.494,8663.112,28595.041,7441.901,28019.244,14487.203,28156.498,5812.603,31993.89,8668.742,6854.451,8116.0093,8267.228,10467.628
YOL055C,208835.97,179774.45,205395.84,154640.62,215644.22,199155.89,218883.61,180619.12,237987.06,173658.62,228109.94,164975.72,678594.44,133589.08,680524.94,130434.375,594789.6,151821.34,653981.2,164578.69,198915.56,157042.42,171524.78,144125.78
YBR104W,140569.86,3230.4539,1771.9471,3647.9126,141314.7,3707.19,134158.12,3414.3071,1925.4608,3867.3809,138692.2,3755.663,151643.53,4653.0986,2521.1697,4630.8916,1927.0847,4090.6814,1862.5986,4067.2034,2189.5706,4893.8994,157969.55,4451.301
YFL016C,202019.22,2544.2312,210531.95,4722.5654,217349.31,4599.0137,187057.8,7584.9805,7126.3594,5175.5244,200870.22,4488.424,207582.36,4696.212,194072.3,4859.126,9478.961,4747.156,195159.11,6272.738,6744.544,5209.112,9383.647,6063.7383
YKL033W,41176.203,7355.196,41775.58,7271.816,43502.574,1020.7092,50255.66,726.52924,55087.14,7835.363,48202.27,8171.072,46937.95,679.60474,9135.863,9150.225,47607.242,800.5897,45966.625,513.69556,9132.616,926.2947,9974.131,1253.7283
YHR074W,85305.766,13018.389,104444.76,13347.015,92437.21,13895.686,106291.23,13442.279,14412.193,15734.934,118635.46,13524.045,112388.695,13596.899,12460.393,13550.773,97887.76,12730.982,118989.04,13197.232,110174.16,12520.637,109907.664,14503.045
YOR320C,19470.03,1496.69,14493.338,3678.6475,11174.892,3041.75,17765.46,6257.1836,1019.47705,3441.2852,13467.976,1302.8113,12389.539,3745.539,8379.426,2697.7031,11572.166,6092.522,15016.508,5744.908,18298.307,5729.169,3544.6094,2276.7817
YLR328W,24338.777,6238.557,22535.969,6027.811,21043.541,6623.8525,21906.53,6890.9717,6799.519,6691.134,21440.947,6217.908,21844.664,6721.4146,6001.885,6024.661,29220.771,6604.498,5514.0894,7276.306,21572.406,6186.3906,22304.186,5359.5684
YGR186W,56906.96,8269.836,54557.777,58715.38,58875.816,8370.221,53560.008,56300.125,4073.8638,4980.05,56301.26,2995.6426,67123.734,64479.668,64460.36,3711.5728,61559.258,5881.6235,64268.4,8152.287,66615.98,7678.4697,70077.36,9665.9375
YLR454W,13813.43,2122.1204,13334.624,2391.9827,13864.785,2885.2136,15397.262,14608.8125,13914.887,1485.363,15192.204,1284.679,15167.491,15239.755,15181.276,2680.711,14382.041,1241.4955,13450.663,2242.3787,14057.778,15636.433,15520.379,2471.5513
