Name_Category,SK1_D_1_1,SK1_D_1_2,SK1_D_2_1,SK1_D_2_2,SK1_D_3_1,SK1_D_3_2,SK1_H_1_1,SK1_H_1_2,SK1_H_2_1,SK1_H_2_2,SK1_H_3_1,SK1_H_3_2,bPAC_D_1_1,bPAC_D_1_2,bPAC_D_2_1,bPAC_D_2_2,bPAC_D_3_1,bPAC_D_3_2,bPAC_H_1_1,bPAC_H_1_2,bPAC_H_2_1,bPAC_H_2_2,bPAC_H_3_1,bPAC_H_3_2
YDR135C_SK1,37057.4,13682.5625,40580.133,11390.624,58198.867,11820.199,50479.98,11534.238,53012.16,12111.461,11996.175,11142.451,37296.324,13884.056,37441.836,17996.924,34884.383,12658.06,19420.994,96373.02,18116.387,19544.531,89961.67,17864.412
YNL280C_SK1,23614.197,5361.89,4512.6973,5431.5684,3472.804,6413.263,25723.074,7570.2715,3807.424,6821.077,4397.712,5316.992,5662.153,10626.9375,36387.05,9666.191,6026.5093,9156.259,29002.639,11217.652,7846.2725,5922.162,9364.768,5098.4033
YKL211C_SK1,32124.607,9226.06,33199.81,7461.5576,33240.562,8322.409,29815.135,7900.371,31850.37,30321.27,37323.582,37447.477,40430.824,11919.878,43253.863,11278.6875,41217.93,10908.497,61851.78,17306.502,56557.484,18839.154,35218.402,16536.045
YGL173C_SK1,23531.93,12180.367,22718.363,18502.906,23207.254,10925.912,23883.154,9782.334,21114.574,16207.612,20171.117,10909.598,29946.078,23286.86,36687.062,11051.361,18500.85,26592.107,27264.26,21061.195,20537.79,11060.555,16954.756,22228.795
YKR095W_SK1,12615.734,5030.6797,13654.033,10981.756,16830.023,10776.756,21754.906,15857.074,19722.27,11732.194,16978.48,5425.1245,10447.707,6709.948,21892.115,10485.876,12011.34,17825.77,13356.881,8577.474,13583.473,6535.2173,11051.337,9080.781
YER003C_SK1,40583.438,33731.05,38607.992,27103.07,40168.805,22576.398,38353.242,37518.523,37665.37,29520.969,37298.605,22363.867,43346.19,44747.895,35072.098,42111.85,33467.367,44220.812,46780.81,44612.598,45603.254,42263.33,44182.53,43876.383
YJL002C_SK1,7023.1924,6943.8906,6668.991,6296.452,7081.0566,6511.1943,6133.917,7402.5625,7884.0957,6695.7725,5805.342,5924.585,7979.281,7638.715,7638.2705,7452.669,7029.366,10012.996,8180.631,8119.0713,7376.077,8233.627,9360.137,8146.077
YNL037C_SK1,102190.734,90274.72,84237.73,82067.7,81438.85,91440.84,74875.24,79204.13,98075.86,85225.9,93740.2,87892.81,132711.1,128816.92,82969.734,102810.516,88008.414,122420.875,113651.09,117384.45,121695.45,124345.06,130679.81,123580.81
YIL022W_SK1,23943.928,18041.564,19078.092,19205.807,19946.6,20283.664,19578.27,18277.18,19682.805,19417.904,15302.434,17825.75,15621.341,17986.703,18859.023,16226.826,18798.814,15948.799,22509.059,20463.033,21764.79,19913.32,19228.467,21012.416
YNL104C_SK1,73270,68385.26,63012.35,60366.418,68903.73,61751.227,67863.195,65066.39,65139.68,63168.96,60488.28,58470.508,58012.938,59906.516,62116.668,61022.5,54785.023,52059.484,71724.87,65950.445,67611.25,68358.37,63430.45,65671.83
YBR234C_SK1,28174.256,28345.842,27034.096,27289.02,28033.277,27887.781,26111.26,26770.012,28338.271,28828.031,24718.07,26925.012,23495.363,28876.607,27350.207,21813.207,27115.693,22695.596,28809.453,27627.113,28605.957,27086.07,26125.262,25709.926
YPL063W_SK1,27455.936,21175.066,22991.87,21574.332,22934.754,25654.45,25482.887,25917.828,24735.445,27582.068,22356.082,22332.05,18980.988,22819.434,17719.182,18109.416,18924.691,17338.055,21681.766,22879.443,19871.832,19903.973,22254.17,23720.89
YGL100W_SK1,97919.39,90300.43,78475.36,71409.05,77909.73,108033.13,77082.6,87089.49,58241.723,81596.72,73694.625,67931.695,20207.887,66993.32,54020.383,45695.973,69335.36,40713.137,60529.848,66759.92,69606.59,72605.3,34835.79,62333.31
YMR008C_SK1,18029.543,17710.896,16107.182,15489.474,17429.322,17535.459,16398.797,15531.19,16592.738,16482.162,15326.352,14668.9,10453.615,11799.556,11774.202,10917.933,12884.469,9571.3,15708.377,13044.877,16017.24,14983.594,13048.872,12948.574
YER062C_SK1,23770.527,22461.332,21219.969,21562.65,22324.953,22965.16,20943.52,19341.094,21916.012,22858.047,22875.93,23240.32,13973.779,16284.564,15156.69,14303.263,14620.176,15302.621,19201.016,19318.777,17658.191,20073.535,17396.246,19317.582
YDL174C_SK1,38137.69,41500.44,36788.586,34127.324,36505.42,35780.22,36256.94,36813.746,37666.355,39369.934,38756.633,38347.535,21357.504,25711.846,24234.941,23402.848,24516.502,28503.904,31105.27,30866.844,30837.229,27702.848,25789.318,27343.387
YLL001W_SK1,17177.992,18182.137,15451.238,15690.501,16411.84,17931.678,15401.798,16308.366,16716.496,15708.47,17734.814,17594.61,11751.631,14132.858,15212.187,10746.903,12772.926,9904.127,13965.289,13526.808,14767.967,11552.293,12586.893,12770.264
YEL020W-A_SK1,37264.15,38364.695,31757.426,34197.324,31815.562,34739.18,33161.547,35305.156,34396.7,34521.33,36948.49,37567.9,24111.416,26802.035,28387.965,25490.133,23483.145,25751.04,30018.172,32454.238,31189.203,31220.988,28289.455,32750.844
YPR035W_SK1,29261.379,28690.781,26449.879,26071.86,26910.318,26427.898,28556.266,28085.062,27229.344,28174.098,28601.65,28493.297,19164.123,22715.602,22357.803,20973.258,22937.805,20087.754,26950.744,26492.037,27088.113,24571.023,23266.553,25125.48
YJL167W_SK1,166753.36,162628.6,162089.92,162010.61,164913.36,165103.73,159663.98,158068.94,162297.75,166022.83,183429.6,183182.73,130007.08,146171.47,134240.2,133725.1,135460.98,130223.6,162408,148156.69,153091.55,144522.92,142829.84,144601.97
YNL241C_SK1,85042.59,84290.61,85803.6,85151.03,83823.5,86374.55,78553.4,80125.15,78528.13,84750.11,81549.77,80658.984,68227.31,75393.98,64891.984,68555.25,64516.094,67574.2,73090.78,74612.17,73865.54,77590.86,71045.36,75282.33
YDR019C_SK1,34854.746,37070.188,30896.566,34145.07,32208.602,33428.04,34325.273,36874.023,33038.695,35047.438,30349.7,30587.992,24769.898,30054.562,28410.234,27267.494,30338.568,25808.959,32893.594,33387.56,32027.693,32463.422,27400.764,29700.408
YDL178W_SK1,9624.842,10361.476,8067.578,9132.606,7918.127,10207.576,7791.4736,9430.895,8950.285,10110.309,9897.742,8857.605,3276.861,7933.2163,7844.2515,8586.723,7537.585,7539.4536,7737.3125,8318.692,8457.954,8832.783,7975.963,9423.715
YGL001C_SK1,18461.695,21795.768,18409.82,20173.982,18010.287,21104.701,17784.604,19044.145,19725.48,21315.068,19770.914,19474.986,12467.593,17258.656,15299.041,17033.91,14862.941,15884.186,19393.795,22331.764,19063.3,20981.28,16425.498,20637.531
YOR020C_SK1,179269.62,190812.6,162168.25,167564.42,153702.31,174193.3,173439.98,184434.6,165742.53,176597.55,163031.34,165616.94,140990.84,146854.28,138708.64,139044.5,137661.97,143509.39,171729.92,176651.28,167907.9,169925,177334.66,180114.8
YER063W_SK1,18721.398,19792.672,18644.123,19555.152,18204.422,19973.525,19159.23,17370.795,20361.832,19666.418,19040.48,21641.387,14537.271,15678.296,15792.248,14988.271,16680.205,16123.043,20898.422,19340.254,20617.406,18093.994,20182.34,19699.703
YNR050C_SK1,43155.67,35011.117,42462.984,32686.08,43047.184,32174.736,40368.402,34695.13,38559.22,37263.395,36374.633,33496.992,31318.47,26010.898,28488.316,22227.549,25200.568,20681.162,42155.023,36236.594,42895.76,35867.535,43283.402,31668.844
YGL255W_SK1,231466.22,204483.28,241561.38,195571.78,211501.16,189768.05,227864.12,201920.88,223639.72,219548.12,181432.78,189404.88,202191.98,182525.17,188871.08,150147.06,179288.11,150223.9,233930.92,204218.48,242799.88,198973.25,274961.56,197776.64
YNL169C_SK1,13709.096,12254.31,11205.65,9979.262,10802.048,10155.1455,10742.257,10080.811,11439.532,11291.928,11145.645,10851.718,7900.3335,8784.03,7404.464,6819.727,8112.377,7230.035,11088.812,10283.835,11594.747,10288.7705,10344.493,10881.967
YAR015W_SK1,40832.78,33687.953,38457.367,33213.42,38695.906,35875.12,36665.33,32850.31,36172.203,34860.668,36547.477,37739.29,23871.234,23635.521,24936.111,22437.705,24753.238,22423.016,35604.79,35946.15,36399.79,35280.242,34908.77,36933.156
YBR115C_SK1,24345.898,21580.18,23732.11,19718.38,22652.184,20925.248,23657.088,20251.512,21326.955,21069.637,22150.77,22013.203,11042.182,13156.479,13685.752,11743.704,12402.286,9387.555,21269.494,19046.53,21204.059,20363.57,17059.64,17176.125
YMR108W_SK1,104361.09,96970.82,95262.99,85245.516,92581.38,89347.46,94094.56,91798.04,93078.27,92023.99,90535.4,90906.484,51734.234,57010.652,52461.58,54047.023,49750.094,49739.402,89962.64,90771.8,91290.69,92251.3,78447.96,90167.625
YOR375C_SK1,123919.68,114343.484,115955.03,107544.89,122972.695,115443.07,120051.7,104269.83,119668.47,118298.19,116910.87,110624.5,44811.93,56598.84,49321.984,56084.703,55929.15,58572.617,121667.984,109528.84,126532.53,111910.84,99551.31,119217.59
YMR145C_SK1,15658.692,16614.016,16883.285,16495.057,16819.861,16434.408,12411.671,17921.385,16675.03,16272.467,17100.05,16784.656,9087.122,8601.236,7504.877,7333.203,7274.1826,7599.8086,15338.883,15359.252,15466.13,15391.108,16670.238,15849.452
YGL157W_SK1,37113.707,36255.242,38988.656,34939.723,36858.855,34623.883,43083.277,38401.27,40363.336,40551.617,32411.547,31070.076,18625.816,22615.777,14337.004,20468.238,21968.123,19507.838,36516.812,33501.562,31366.84,29954.672,30505.666,31144.033
YDL198C_SK1,12756.749,12249.414,12423.15,12210.317,14333.166,12165.239,11886.17,12386.12,12122.246,12724.705,11525.496,11792.051,8595.064,9288.788,8644.076,8575.049,8559.275,7868.317,12465.96,13033.82,13919.779,13369.874,11777.317,12356.17
YHR063C_SK1,8344.273,7453.6855,6880.2373,7245.802,7924.9473,7340.9062,7520.0527,7162.296,7545.2026,7654.3105,8399.166,8282.962,4540.938,5416.2354,5346.323,5174.1865,5570.51,5888.7124,8432.678,8361.408,8068.3506,8061.254,7303.051,7936.544
YHR163W_SK1,22032.295,22010.684,22152.797,21051.152,22859.209,24020.875,22447.453,24077.902,20452.797,25602.96,24080.129,23137.762,16573.963,18242.191,16135.174,15932.68,16955.752,16525.102,24003.963,24655.605,23289.988,23584.75,21475.18,21497.793
YCL030C_SK1,33869.9,34534.98,39041.58,30945.086,30568.914,31361.402,41844.438,38588.207,34255.57,26104.85,33242.156,35479.887,19819.865,26225.785,22197.844,25330.988,17194.361,22308.393,40033.312,39984.24,40261.562,39211.277,29633.797,36981.793
YNL231C_SK1,10821.127,12347.57,9365.068,10306.679,7796.2705,11818.615,13010.162,14115.062,11924.891,11605.722,11904.141,10407.844,8253.467,8471.248,8281.878,6861.1626,7071.082,8443.593,13541.918,13224.127,11881.172,12528.118,10012.65,11825.473
YDL078C_SK1,230036.48,151627.47,76864.45,241357.47,216427.7,219335.92,148916.81,257983.55,235951.16,254398.77,192985.78,263371.66,161482.97,55925.074,155770.61,140067.39,130861.01,55984.348,247402.22,262556.1,230766.66,214775.14,240368.86,225031.62
YMR096W_SK1,34253.37,35083.184,32876.88,32034.613,30164.457,32513.918,35512.09,36026.613,35798.285,34355.18,33949.77,33723.78,25814.273,26287.588,25415.783,23446.164,15946.951,14841.52,44936.67,44434.39,54821.605,53348.07,40158.305,36569.066
YFL058W_SK1,367379.25,255677.89,394555.5,387622.5,394160,385048.8,452964.28,392362.7,417939.2,416239.44,428551.8,275146.56,270585.47,241398.66,280021.9,249633.38,257200.11,216027.94,502532.2,392902.97,543889,519296.2,543418.6,467761.25
YMR189W_SK1,26711.719,26625.676,22215.414,21447.496,22786.396,22810.107,23907.094,25837.668,21294.668,25046.97,25032.564,24804.443,26679.357,16497.066,15283.003,16146.357,13454.21,14876.984,30210.984,26586.348,33480.992,24356.28,40859.42,25053.01
YIL094C_SK1,39852.91,45027.285,34112.1,40208.734,35483.992,43457.25,36670.14,43752.07,39050.06,42986.242,36022.293,35790.402,36424.203,33134.71,35784.633,26244.043,31126.398,25481.742,46091.473,49008.953,43157.75,44294.992,45046.02,43272.492
YHR183W_SK1,67941.266,70643.69,72195.34,72960.17,65521,75282.81,70356.95,73357.54,62267.375,72343.58,65607.25,68702.39,56457.367,61630.65,61115.945,56171.04,56923.742,55593.61,87882.94,78049.64,87999.55,89841.16,80984.555,77753.49
YLR259C_SK1,180673.75,178053.03,152685.45,156885.78,153630.81,160182.22,164092.31,169054.66,165067.25,166013.55,158074.5,160787.6,148767.1,151934.58,146392.88,138373.02,135589.4,145811.27,178274.39,186773.5,172651.48,178043.5,189866.55,189580.94
YGL242C_SK1,12987.611,9565.448,12120.41,9865.218,12279.255,11360.871,12019.35,10509.555,12690.689,10880.297,10416.44,10942.076,10098.879,10321.223,9432.377,8263.249,10813.342,8679.314,8563.344,9349.48,13663.367,12547.65,12422.332,11408.053
YGR240C_SK1,122432.58,132932.38,137382.97,124529.195,134282.75,135382,130337.36,116884.52,130917.125,127057.67,131737.44,127021.34,125036.32,109265.29,122836.945,98021.055,122578.55,93117.96,135312.28,119676.21,164329.12,141653.88,149025.98,132568.81
YDR378C_SK1,17932.195,17267.887,17546.77,17493.85,17571.033,18395.344,17009.213,17600.785,19143.58,17906.414,15475.289,17079.25,17249.064,14389.471,16076.971,14401.641,16405.914,13177.435,17903.385,15540.479,18916.191,16523.691,17946.525,16631.293
YLR300W_SK1,107329.03,104989.5,100949.82,101105.914,106497.64,107664.54,108506.33,108641.87,113598.93,109689.984,102499.336,104304.17,88292.92,84195.77,87993.08,73732.19,88644.09,70199.54,106846.91,95642.58,109563.92,105697.875,104592.9,92068.55
