reaction_name	minFlux_mut	maxFlux_mut	minFlux_wt	maxFlux_wt	distinct_rxn_bool
1,6-beta-glucan synthase	0.12944431717366	0.137317653741165	0.208841509108238	0.221544109929774	1
4-hydroxybenzoate formation	0	0	0	0	0
8-amino-7-oxononanoate synthase	0	0	0	0	0
acetyl-CoA ACP transacylase	0	1000	0	1000	0
Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	0	0	0	0	0
geranylgeranyltranstransferase	0	0	0	0	0
glucosamine-6-phosphate deaminase	0	29.5396611332943	0	44.6790603390029	0
glutathione peroxidase, mitochondria	0	1000	0	1000	0
glycine C-acetyltransferase	0	0	0	0	0
L-tyrosine N-formyltransferase	0	0.941133108556879	0	1.42347411341443	0
ribonucleoside-triphosphate reductase (ATP)	0	0.000385687898632603	0	0.00059124305608808	0
ribonucleoside-triphosphate reductase (CTP)	0	0.572071104973705	0	0.865177972502497	0
ribonucleoside-triphosphate reductase (GTP)	0	0.000257257644108257	0	0.000394159115551696	0
ribonucleoside-triphosphate reductase (UTP)	0	0.832273654074215	0	1.25872956034082	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous kynurenic acid to quinaldic acid	0	0	0	0	0
spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate	0	0.00174768323077629	0	0.00220363881984247	0
fatty-acid--CoA ligase (behenate), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (behenate), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), lipid particle	0	1000	0	1000	0
taurcholate via ABC system	0	0	0	0	0
(R)-mevalonate transport	0	1000	0	999.867125787071	0
(R,R)-butanediol transport	0	1000	0	1000	0
2-methylbutyl transport	0	8.96853538416959	0	14.9842340924293	0
2-oxoadipate and 2-oxoglutarate transport	0	1000	0	1000	0
3-hexaprenyl-4,5-dihydroxybenzoate transport	0	1000	0	1000	0
4-aminobutyrate transport	0	0	0	0	0
5-aminolevulinate transport	0	0	0	0	0
5-formyltetrahydrofolic acid transport	0	1000	0	1000	0
8-Amino-7-oxononanoate transport	0	1000	0	1000	0
acetate transport	0	1000	0	1000	0
acetic ester transport	0	10.830444456335	0	20.5280397771029	0
adenine transport	0	3.41083305405317	0	5.13817158225929	0
adenosine transport	0	0	0	0	0
ADP/ATP transporter	0	1000	0	1000	0
ADP/ATP transporter	0	0	0	0	0
AKG transporter, mitochonrial	0	1000	0	1000	0
allantoate uniport	0	0	0	0	0
allantoin uniport	0	0	0	0	0
ammonia transport	0	1000	0	1000	0
AMP/ATP transporter	0	0.00845624171991877	0	0.0127901589722357	0
aspartate-glutamate transporter	0	44.6119872140223	0	53.888435004433	0
biotin uptake	0	0	0	0	0
carnithine-acetylcarnithine carrier	0	7.32979130986173	0	10.4941049243957	0
ceramide-2' (sphinganine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-2' (sphinganine:n-C26:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C26:0OH) transport	0	1000	0	1000	0
choline transport	0	114.186882231219	0	111.028734569189	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
coenzyme A transport	0	0.54759928711399	0	0.55025208139325	0
CTP transport	0	0.528276659948669	0	0.596185168336396	0
CTP/CMP antiport	0	0.520226158394666	0	0.593955641388835	0
cytidine transport	0	0	0	0	0
cytosine transport	0	0	0	0	0
D-fructose transport	0	0	0	0	0
D-galactose transport	0	0	0	0	0
D-lactate transport	0	1000	0	1000	0
D-lactate transport	0	4.94116559750347	0	6.04593462181584	0
D-lactate/pyruvate antiport	0	1000	0	1000	0
D-mannose transport	0	0	0	0	0
episterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ethanolamine transport	0	1000	0	1000	0
