reaction_name	minFlux_mut	maxFlux_mut	minFlux_wt	maxFlux_wt	distinct_rxn_bool
1,6-beta-glucan synthase	0.13803793178546	0.162397566806422	0.212074630616922	0.249499565431674	1
4-hydroxybenzoate formation	0	0	0	0	0
8-amino-7-oxononanoate synthase	0	0	0	0	0
acetyl-CoA ACP transacylase	0	1000	0	1000	0
Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	0	0	0	0	0
geranylgeranyltranstransferase	0	0	0	0	0
glucosamine-6-phosphate deaminase	0	87.2529297483725	0	67.6129042746205	0
glutathione peroxidase, mitochondria	0	1000	0	1000	0
glycine C-acetyltransferase	0	0	0	0	0
L-tyrosine N-formyltransferase	0	2.77987687923802	0	2.15414599684626	0
ribonucleoside-triphosphate reductase (ATP)	0	0.000464046598326505	0	0.000644076569613826	0
ribonucleoside-triphosphate reductase (CTP)	0	1.68897880914073	0	1.30907842291229	0
ribonucleoside-triphosphate reductase (GTP)	0	0.00030942052696029	0	0.000424647143409078	0
ribonucleoside-triphosphate reductase (UTP)	0	2.45719903157982	0	1.90450360633993	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous kynurenic acid to quinaldic acid	0	0	0	0	0
spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate	0	0.00210165557043996	0	0.00240921491701712	0
fatty-acid--CoA ligase (behenate), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (behenate), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), lipid particle	0	1000	0	1000	0
taurcholate via ABC system	0	0	0	0	0
(R)-mevalonate transport	0	1000	0	1000	0
(R,R)-butanediol transport	0	1000	0	1000	0
2-methylbutyl transport	0	29.261466137488	0	22.6751132387415	0
2-oxoadipate and 2-oxoglutarate transport	0	1000	0	1000	0
3-hexaprenyl-4,5-dihydroxybenzoate transport	0	1000	0	1000	0
4-aminobutyrate transport	0	0	0	0	0
5-aminolevulinate transport	0	0	0	0	0
5-formyltetrahydrofolic acid transport	0	1000	0	1000	0
8-Amino-7-oxononanoate transport	0	1000	0	1000	0
acetate transport	0	1000	0	1000	0
acetic ester transport	0	36.1513003308625	0	31.0026070457746	0
adenine transport	0	10.0170821771059	0	7.76183612714855	0
adenosine transport	0	0	0	0	0
ADP/ATP transporter	0	1000	0	1000	0
ADP/ATP transporter	0	0	0	0	0
AKG transporter, mitochonrial	0	1000	0	1000	0
allantoate uniport	0	0	0	0	0
allantoin uniport	0	0	0	0	0
ammonia transport	0	1000	0	1000	0
AMP/ATP transporter	0	0.0249774236757507	0	0.0193553496598167	0
aspartate-glutamate transporter	0	110.924208630232	0	90.0776914561037	0
biotin uptake	0	0	0	0	0
carnithine-acetylcarnithine carrier	0	18.1217468203999	0	14.5723871225451	0
ceramide-2' (sphinganine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-2' (sphinganine:n-C26:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C26:0OH) transport	0	1000	0	1000	0
choline transport	0	312.486657993928	0	248.622646605331	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
coenzyme A transport	0	0.83131790600745	0	0.671383943504183	0
CTP transport	0	1.55599443320393	0	1.20639530563204	0
CTP/CMP antiport	0	1.53128777224072	0	1.18725666365158	0
cytidine transport	0	0	0	0	0
cytosine transport	0	0	0	0	0
D-fructose transport	0	0	0	0	0
D-galactose transport	0	0	0	0	0
D-lactate transport	0	1000	0	1000	0
D-lactate transport	0	12.820673265654	0	10.1185844222362	0
D-lactate/pyruvate antiport	0	1000	0	1000	0
D-mannose transport	0	0	0	0	0
episterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ethanolamine transport	0	1000	0	1000	0
