reaction_name	minFlux_mut	maxFlux_mut	minFlux_wt	maxFlux_wt	distinct_rxn_bool
1,6-beta-glucan synthase	0.140657404837302	0.16547929945202	0.211949227258089	0.249352032068346	1
4-hydroxybenzoate formation	0	0	0	0	0
8-amino-7-oxononanoate synthase	0	0	0	0	0
acetyl-CoA ACP transacylase	0	1000	0	1000	0
Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	0	0	0	0	0
geranylgeranyltranstransferase	0	0	0	0	0
glucosamine-6-phosphate deaminase	0	81.8345985241123	0	67.6129034488904	0
glutathione peroxidase, mitochondria	0	1000	0	1000	0
glycine C-acetyltransferase	0	0	0	0	0
L-tyrosine N-formyltransferase	0	2.60724893725587	0	2.15414597054298	0
ribonucleoside-triphosphate reductase (ATP)	0	0.000464384307514143	0	0.000644572740533115	0
ribonucleoside-triphosphate reductase (CTP)	0	1.58412310892306	0	1.30907889591762	0
ribonucleoside-triphosphate reductase (GTP)	0	0.000309591650712742	0	0.000429715135641109	0
ribonucleoside-triphosphate reductase (UTP)	0	2.30465044799646	0	1.90450429449007	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous kynurenic acid to quinaldic acid	0	0	0	0	0
spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate	0	0.00210329324614111	0	0.00241109331251765	0
fatty-acid--CoA ligase (behenate), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (behenate), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), lipid particle	0	1000	0	1000	0
taurcholate via ABC system	0	0	0	0	0
(R)-mevalonate transport	0	1000	0	1000	0
(R,R)-butanediol transport	0	1000	0	1000	0
2-methylbutyl transport	0	27.4443544820443	0	22.6750852672787	0
2-oxoadipate and 2-oxoglutarate transport	0	1000	0	1000	0
3-hexaprenyl-4,5-dihydroxybenzoate transport	0	1000	0	1000	0
4-aminobutyrate transport	0	0	0	0	0
5-aminolevulinate transport	0	0	0	0	0
5-formyltetrahydrofolic acid transport	0	1000	0	1000	0
8-Amino-7-oxononanoate transport	0	1000	0	1000	0
acetate transport	0	1000	0	1000	0
acetic ester transport	0	34.5650264712587	0	31.0036322875605	0
adenine transport	0	9.3971337724938	0	7.76185587919171	0
adenosine transport	0	0	0	0	0
ADP/ATP transporter	0	1000	0	1000	0
ADP/ATP transporter	0	0	0	0	0
AKG transporter, mitochonrial	0	1000	0	1000	0
allantoate uniport	0	0	0	0	0
allantoin uniport	0	0	0	0	0
ammonia transport	0	1000	0	1000	0
AMP/ATP transporter	0	0.0234263475591639	0	0.0193553260200978	0
aspartate-glutamate transporter	0	104.749602492071	0	90.0894349462036	0
biotin uptake	0	0	0	0	0
carnithine-acetylcarnithine carrier	0	17.1050565879998	0	14.5727207994219	0
ceramide-2' (sphinganine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-2' (sphinganine:n-C26:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C26:0OH) transport	0	1000	0	1000	0
choline transport	0	293.987747054383	0	248.636362410674	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
coenzyme A transport	0	0.789091054294713	0	0.67131411231081	0
CTP transport	0	1.45959690598616	0	1.20639295765449	0
CTP/CMP antiport	0	1.43642088097537	0	1.18725358881827	0
cytidine transport	0	0	0	0	0
cytosine transport	0	0	0	0	0
D-fructose transport	0	0	0	0	0
D-galactose transport	0	0	0	0	0
D-lactate transport	0	1000	0	1000	0
D-lactate transport	0	12.0799865401481	0	10.1185748579697	0
D-lactate/pyruvate antiport	0	1000	0	1000	0
D-mannose transport	0	0	0	0	0
episterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ethanolamine transport	0	1000	0	1000	0
fadH2 transport	0	2.99169189041112e-06	0	3.5477251921197e-06	0
fecosterol transport	0	1000	0	1000	0
fecosterol transport	0	1000	0	1000	0
folic acid transport	0	1000	0	1000	0
GDP-mannose antiport	0	26.7046248580476	0	22.0637389896753	0
glucose transport	1.22098277641507	56.9425710422513	4.13052520800907	52.2996035737419	0
glutathione transport	0	0	0	0	0
glycero-3-phospho-1-inositol transport	0	1000	0	1000	0
glycero-3-phosphocholine transport	0	1000	0	1000	0
glycerol transport	0	293.987747055183	0	248.636362411149	0
glycerol transport via channel	0	293.9877470549	0	248.636362410853	0
glycine transport	0	1000	0	1000	0
glycogen vacuolar 'transport' via autophagy	0	10.8172544346749	0	8.93736870301362	0
GTP/GDP translocase	0	5.71885751331746	0	4.74451455572192	0
guanine transport	0	1000	0	1000	0
inositol transport	0	0.0416465895245611	0	0.0354162113615075	0
iron (II) transport	0	0	0	0	0
isoamyl acetate transport	0	7.0897539992224	0	5.85769931529301	0
isobutyl acetate transport	0	27.5007706798851	0	22.7216974805314	0
isopentenyl diphosphate transport	0	1000	0	1000	0
L-alanine transport	0	1000	0	1000	0
L-arganine transport	0	1000	0	1000	0
L-arganine transport	0	1000	0	1000	0
L-asparagine transport	0	1000	0	1000	0
L-asparagine transport	0	645.959926069792	0	623.443733418734	0
L-aspartate transport	0	645.959926069793	0	623.443733418586	0
L-aspartate transport	0	0	0	0	0
L-aspartate transport	0	1000	0	1000	0
L-carnitine transport	0	1000	0	1000	0
L-cystine transport	0	1000	0	1000	0
L-cystine transport	0	0	0	0	0
L-glutamate transport	0	11.9628700354845	0	9.95805708884132	0
L-glutamate transport	0	0	0	0	0
L-glutamate transport	0	1000	0	1000	0
L-glutamine transport	0	645.959926069983	0	623.443733418715	0
L-glutamine transport	0	645.959926069976	0	623.443733418743	0
L-glutamine transport	0	1000	0	1000	0
L-histidine transport, vacuolar	0	1000	0	1000	0
L-histidine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-lactate transport	0	1000	0	1000	0
L-lactate transport	0	0	0	0	0
L-leucine transport, vacuoluar	0	1000	0	1000	0
L-leucine transport, vacuoluar	0	1000	0	1000	0
L-leucine transport, vacuoluar	0	1000	0	1000	0
L-leucine transport	0	1000	0	1000	0
L-lysine transport	0	1000	0	1000	0
L-lysine transport	0	1000	0	1000	0
L-methionine transport	0	1000	0	1000	0
L-phenylalanine transport	0	1000	0	1000	0
L-proline transport	0	1000	0	1000	0
L-serine transport	0	1000	0	1000	0
L-threonine transport	0	1000	0	1000	0
